Account;2222305752;280;21050000;;+y97522722222222305752;HSHNDEHH;HCOB;KEBICS01;;;;EUR;7999999981;;Y;N;;;2021-10-06T11:41
Account;2222305709;280;21050000;;+y02522722222222305709;HSHNDEHH;HCOB;KEBICS01;;;;EUR;7999999981;;Y;N;;;2021-10-06T11:41
Account;2222305730;280;21050000;;+y80522722222222305730;HSHNDEHH;HCOB;KEBICS01;;;;EUR;7999999981;;Y;N;;;2021-10-06T11:41
Account;2222305776;280;21050000;;+y26522722222222305776;HSHNDEHH;HCOB;KEBICS01;;;;EUR;7999999981;;Y;N;;;2021-10-06T11:41
Account;2222305785;280;21050000;;+y07522722222222305785;HSHNDEHH;HCOB;KEBICS01;;;;EUR;7999999981;;Y;N;;;2021-10-06T11:41
Account;2222305794;280;21050000;;+y44522722222222305794;HSHNDEHH;HCOB;KEBICS01;;;;EUR;7999999981;;Y;N;;;2021-10-06T11:41
Account;2222305743;280;21050000;;+y50522722222222305743;HSHNDEHH;HCOB;KEBICS02;;;;EUR;7999999982;;Y;N;;;2021-10-06T11:41
Account;2222305762;280;21050000;;+y77522722222222305762;HSHNDEHH;HCOB;KEBICS02;;;;EUR;7999999982;;Y;N;;;2021-10-06T11:41
Account;2222305822;280;21050000;;+y36522722222222305822;HSHNDEHH;HCOB;KEBICS02;;;;EUR;7999999982;;Y;N;;;2021-10-06T11:41
Account;2222305822;280;21050000;;+y69522722222222305822;HSHNDEHH;HCOB;KEBICS02;;;;EUR;7999999982;;Y;N;;;2021-10-06T11:41
